sample,uptime_ms,temperature_c,pressure_hpa,humidity_percent
1,9021,28.76,1005.33,42.01
2,10025,28.76,1005.38,41.90
3,11029,28.77,1005.37,41.86
4,12033,28.77,1005.37,41.86
5,13037,28.77,1005.37,41.73
6,14041,28.77,1005.38,41.76
7,15045,28.77,1005.39,41.79
8,16049,28.76,1005.41,41.73
9,22053,28.77,1005.40,41.77
10,27057,28.79,1005.33,41.85
11,32061,28.80,1005.33,41.90
12,37065,28.83,1005.32,41.95
13,42069,28.85,1005.33,41.86
14,47073,28.85,1005.32,41.56
15,52077,28.87,1005.32,41.71
16,57081,28.88,1005.36,41.71
17,62085,28.89,1005.30,41.69
18,67089,28.90,1005.31,41.52
19,72093,28.92,1005.32,41.52
20,77097,28.92,1005.33,41.19
21,82101,28.91,1005.34,41.45
22,87105,28.91,1005.34,41.23
23,92109,28.92,1005.33,41.34
24,97113,28.92,1005.37,41.30
25,102117,28.92,1005.37,41.31
26,107121,28.92,1005.34,41.35
27,112125,28.92,1005.33,41.32
28,117129,28.93,1005.26,41.49
1,28021,36.35,1004.48,25.66
2,29025,36.35,1004.48,25.64
3,30029,36.34,1004.48,25.64
4,31033,36.35,1004.50,25.66
5,32037,36.36,1004.47,25.60
6,33041,36.37,1004.47,25.59
7,34045,36.37,1004.48,25.58
8,35049,36.39,1004.46,25.53
9,39053,36.48,1004.52,25.48
1,11021,35.46,1004.77,29.54
2,12025,35.45,1004.76,29.62
3,13029,35.43,1004.72,29.62
4,14033,35.43,1004.73,29.67
5,25037,35.16,1004.77,30.09
6,26041,35.14,1004.76,30.10
7,32045,35.04,1004.77,30.29
8,37049,34.94,1004.80,30.44
9,42053,34.83,1004.77,30.63
10,47057,34.73,1004.76,30.82
11,52061,34.63,1004.78,30.97
12,57065,34.53,1004.73,31.12
13,62069,34.51,1004.74,31.17
14,67073,34.47,1004.79,31.27
15,72077,34.42,1004.75,31.38
1,7021,34.38,1004.74,31.48
2,8025,34.38,1004.72,31.48
3,12029,34.35,1004.75,31.50
4,17033,34.31,1004.73,31.55
5,22037,34.27,1004.71,31.63
6,27041,34.23,1004.78,31.73
7,32045,34.21,1004.74,31.75
8,37049,34.19,1004.77,31.82
9,42053,34.20,1004.74,31.87
10,47057,34.17,1004.73,31.92
11,52061,34.19,1004.71,31.85
12,57065,34.14,1004.75,31.93
13,62069,34.11,1004.74,31.98
14,67073,34.10,1004.77,32.01
15,72077,34.06,1004.75,32.11
16,77081,34.05,1004.75,32.11
17,82085,34.04,1004.72,32.11
18,87089,34.03,1004.73,32.16
19,92093,34.03,1004.72,32.19
20,97097,34.06,1004.75,32.13
21,102101,34.02,1004.77,32.18
22,107105,34.01,1004.71,32.21
23,112109,34.03,1004.73,32.20
24,117113,34.06,1004.76,32.14
25,122117,34.07,1004.75,32.15
26,127121,34.08,1004.71,32.15
27,132125,34.09,1004.73,32.10
28,137129,34.10,1004.70,32.09
29,142133,34.11,1004.70,32.12
30,147137,34.12,1004.71,32.09
31,152141,34.12,1004.74,32.11
32,157145,34.13,1004.76,32.10
